Date,Name,Year,Letterboxd URI,Rating
2023-12-11,Oppenheimer,2023,https://boxd.it/wUow,4.5
2023-12-11,You Won't Be Alone,2022,https://boxd.it/xjIG,5
2023-12-11,A Wounded Fawn,2022,https://boxd.it/Aqui,3
2023-12-11,Dazed and Confused,1993,https://boxd.it/1Ylk,4.5
2023-12-11,The Darjeeling Limited,2007,https://boxd.it/24as,2.5
2023-12-11,Blood Diamond,2006,https://boxd.it/28Tm,4
2023-12-11,Being John Malkovich,1999,https://boxd.it/2ahu,4.5
2023-12-11,Donnie Darko,2001,https://boxd.it/2b2A,5
2023-12-11,Dirty Dancing,1987,https://boxd.it/2baY,4
2023-12-11,Django Unchained,2012,https://boxd.it/2cCk,4.5
2023-12-11,After Lucia,2012,https://boxd.it/491O,3.5
2023-12-11,American Sniper,2014,https://boxd.it/5LDy,4.5
2023-12-11,The Babadook,2014,https://boxd.it/77xu,4
2023-12-11,Black Mass,2015,https://boxd.it/7K2g,2.5
2023-12-11,Deepwater Horizon,2016,https://boxd.it/9oiU,3.5
2023-12-11,Arrival,2016,https://boxd.it/aNGk,4.5
2023-12-11,Black Widow,2021,https://boxd.it/hWV8,3.5
2023-12-11,Amulet,2020,https://boxd.it/oikq,3
2023-12-11,The Innocents,2021,https://boxd.it/oAlc,4
2023-12-11,Here Before,2021,https://boxd.it/oVbs,3
2023-12-11,American Beauty,1999,https://boxd.it/71Y,4.5
2023-12-11,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2023-12-11,Pineapple Express,2008,https://boxd.it/1WRS,3.5
2023-12-11,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,4.5
2023-12-11,Annihilation,2018,https://boxd.it/9yzm,4.5
2023-12-11,Time Share,2018,https://boxd.it/dwUg,3
2023-12-11,The Square,2017,https://boxd.it/e5YW,5
2023-12-11,Dune,2021,https://boxd.it/fA7G,5
2023-12-11,Come True,2020,https://boxd.it/iG90,4
2023-12-11,Daniel Isn't Real,2019,https://boxd.it/jAx8,4.5
2023-12-11,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3
2023-12-11,Anima,2019,https://boxd.it/mxuc,5
2023-12-11,Infinity Pool,2023,https://boxd.it/oPSK,4.5
2023-12-11,The Adam Project,2022,https://boxd.it/q2Dg,2
2023-12-11,X,2022,https://boxd.it/sxVa,3.5
2023-12-11,Barbarian,2022,https://boxd.it/yohi,3
2023-12-11,Tucker and Dale vs. Evil,2010,https://boxd.it/Mce,3
2023-12-11,Baskin,2015,https://boxd.it/b24U,2
