Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-22,Her,2014,https://boxd.it/5mTepd,4.5,,,2023-12-16
2023-12-22,Arctic,2019,https://boxd.it/5mTePb,3.5,,,2023-12-16
2023-12-22,Divergent,2014,https://boxd.it/5mTejz,2.5,,,2023-12-17
2023-12-25,New Order,2020,https://boxd.it/5opIal,,Yes,,2023-12-24
